                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.49846,                0.36229,                0.88188,                 1.9616,               0.070043,              0.0033286,              0.0033286
                      1,                0.39213,                0.49688,                0.90208,                 1.8219,               0.040021,              0.0066399,              0.0066399
                      2,                0.31167,                0.60146,                0.94917,                 1.7541,              0.0099769,              0.0099293,              0.0099293
                      3,                0.26433,                0.69438,                0.97292,                 1.6564,               0.009901,               0.009901,               0.009901
                      4,                0.21691,                0.74792,                0.97958,                 1.5951,               0.009901,               0.009901,               0.009901
                      5,                0.18429,                0.76188,                0.98229,                 1.5711,               0.009868,               0.009868,               0.009868
                      6,                0.15967,                0.76292,                0.98021,                 1.5574,               0.009835,               0.009835,               0.009835
                      7,                0.13387,                0.77021,                0.98417,                 1.5447,               0.009802,               0.009802,               0.009802
                      8,                0.11592,                0.78458,                0.98333,                 1.5236,               0.009769,               0.009769,               0.009769
                      9,                0.09584,                0.79229,                0.98292,                 1.5117,               0.009736,               0.009736,               0.009736
                     10,                0.08198,                0.78708,                0.98333,                  1.512,               0.009703,               0.009703,               0.009703
                     11,                0.06939,                0.80187,                0.98604,                 1.4926,                0.00967,                0.00967,                0.00967
                     12,                 0.0592,                0.80167,                0.98229,                 1.4891,               0.009637,               0.009637,               0.009637
                     13,                0.04482,                0.80563,                0.98063,                 1.4809,               0.009604,               0.009604,               0.009604
                     14,                0.04389,                  0.785,                0.98146,                 1.5034,               0.009571,               0.009571,               0.009571
                     15,                0.03768,                0.79646,                0.98104,                 1.4851,               0.009538,               0.009538,               0.009538
                     16,                0.02979,                0.81688,                0.98354,                  1.472,               0.009505,               0.009505,               0.009505
                     17,                0.03034,                0.81646,                0.98479,                 1.4735,               0.009472,               0.009472,               0.009472
                     18,                0.02788,                0.80583,                0.98313,                  1.477,               0.009439,               0.009439,               0.009439
                     19,                 0.0245,                0.81333,                0.98458,                 1.4724,               0.009406,               0.009406,               0.009406
                     20,                0.02491,                0.79937,                0.98333,                 1.4829,               0.009373,               0.009373,               0.009373
                     21,                0.01861,                0.80271,                0.98208,                 1.4741,                0.00934,                0.00934,                0.00934
                     22,                0.01705,                0.81083,                0.98146,                  1.469,               0.009307,               0.009307,               0.009307
                     23,                0.01559,                 0.8125,                0.98396,                 1.4688,               0.009274,               0.009274,               0.009274
                     24,                0.01461,                  0.815,                0.98313,                 1.4657,               0.009241,               0.009241,               0.009241
                     25,                0.01945,                 0.8125,                0.97979,                 1.4693,               0.009208,               0.009208,               0.009208
                     26,                0.01424,                0.81417,                0.98271,                  1.467,               0.009175,               0.009175,               0.009175
                     27,                0.01465,                0.82146,                0.98646,                 1.4589,               0.009142,               0.009142,               0.009142
                     28,                0.01395,                0.81667,                0.98396,                 1.4643,               0.009109,               0.009109,               0.009109
                     29,                0.01316,                0.81583,                0.98521,                 1.4631,               0.009076,               0.009076,               0.009076
